country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025 14:00:00,26.2028636,91.70046436,NH3,5.0,5.0,5.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025 14:00:00,26.2028636,91.70046436,SO2,19.0,21.0,19.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",06-04-2025 14:00:00,26.10887,91.589544,NH3,15.0,49.0,18.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",06-04-2025 14:00:00,26.10887,91.589544,SO2,7.0,14.0,12.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025 14:00:00,26.1875,91.744194,PM10,47.0,124.0,89.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",06-04-2025 14:00:00,13.615387,79.40923,NO2,3.0,3.0,3.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025 14:00:00,16.536107,80.594233,PM2.5,47.0,63.0,55.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025 14:00:00,16.486692,80.699436,PM10,49.0,61.0,54.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025 14:00:00,16.486692,80.699436,NO2,26.0,127.0,65.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",06-04-2025 14:00:00,14.675886,77.593027,OZONE,4.0,33.0,12.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",06-04-2025 14:00:00,13.20488,79.097889,CO,7.0,34.0,9.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",06-04-2025 14:00:00,13.20488,79.097889,OZONE,32.0,50.0,39.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",06-04-2025 14:00:00,14.465052,78.824187,OZONE,32.0,33.0,32.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",06-04-2025 14:00:00,16.9872867,81.7363176,SO2,10.0,14.0,12.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",06-04-2025 14:00:00,13.67,79.35,NO2,12.0,26.0,18.0
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",06-04-2025 14:00:00,13.67,79.35,OZONE,16.0,36.0,22.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",06-04-2025 14:00:00,27.103358,93.679645,PM10,23.428571428571427,87.67038007863695,48.31651376146789
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",06-04-2025 14:00:00,27.103358,93.679645,NO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",06-04-2025 14:00:00,27.103358,93.679645,SO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",06-04-2025 14:00:00,26.349082,92.68449,NO2,4.0,16.0,10.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",06-04-2025 14:00:00,26.349082,92.68449,SO2,3.0,23.0,13.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",06-04-2025 14:00:00,16.9872867,81.7363176,NH3,2.0,8.0,4.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",06-04-2025 14:00:00,26.071318,91.87488,OZONE,24.0,72.0,28.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",06-04-2025 14:00:00,26.446912,91.439057,PM2.5,77.0,280.0,158.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",06-04-2025 14:00:00,26.446912,91.439057,NO2,1.0,7.0,3.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",06-04-2025 14:00:00,24.792403,84.992416,CO,10.0,142.0,23.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",06-04-2025 14:00:00,24.762518,84.982348,PM2.5,11.0,78.0,46.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",06-04-2025 14:00:00,24.762518,84.982348,SO2,7.0,9.0,8.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",06-04-2025 14:00:00,24.762518,84.982348,OZONE,11.0,66.0,35.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",06-04-2025 14:00:00,25.697189,85.2459,PM2.5,156.0,330.0,274.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",06-04-2025 14:00:00,25.697189,85.2459,CO,22.0,68.0,46.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",06-04-2025 14:00:00,25.560083,87.553265,SO2,13.0,25.0,21.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",06-04-2025 14:00:00,25.560083,87.553265,CO,5.0,26.0,21.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",06-04-2025 14:00:00,26.0881305,87.93840336,NO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",06-04-2025 14:00:00,26.0881305,87.93840336,SO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",06-04-2025 14:00:00,25.204762,85.51496,NO2,23.428571428571427,87.67038007863695,48.31651376146789
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",06-04-2025 14:00:00,25.204762,85.51496,OZONE,23.428571428571427,87.67038007863695,48.31651376146789
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",06-04-2025 14:00:00,25.56752,83.966379,PM2.5,22.0,332.0,171.0
